user,wine,rating
682e033749846205368a81f6,682daf7b49846205368a80cc,4
682e033749846205368a81f6,682daf7b49846205368a80e0,5
682e033749846205368a81f6,682daf7b49846205368a80d9,3
682e033749846205368a81f7,682daf7b49846205368a80cd,2
682e033749846205368a81f7,682daf7b49846205368a80ce,4
682e033749846205368a81f7,682daf7b49846205368a80d5,5
682e033749846205368a81f8,682daf7b49846205368a80e5,3
682e033749846205368a81f8,682daf7b49846205368a80d0,5
682e033749846205368a81f8,682daf7b49846205368a80d6,4
682e033749846205368a81f9,682daf7b49846205368a80ec,4
682e033749846205368a81f9,682daf7b49846205368a80cc,3
682e033749846205368a81f9,682daf7b49846205368a80e0,5
682e033749846205368a81fa,682daf7b49846205368a80cd,4
682e033749846205368a81fa,682daf7b49846205368a80d9,5
682e033749846205368a81fa,682daf7b49846205368a80e5,3
682def5f0c7b98e6417cf022,682daf7b49846205368a80d5,5
682def5f0c7b98e6417cf022,682daf7b49846205368a80cc,4
682def5f0c7b98e6417cf022,682daf7b49846205368a80cd,2
682def790c7b98e6417cf025,682daf7b49846205368a80e0,5
682def790c7b98e6417cf025,682daf7b49846205368a80ec,4
682def790c7b98e6417cf025,682daf7b49846205368a80e5,3
